epoch_idx,k,n_collected,decode_success,c,delta,trial,seed
0,294,134,0,0.1,0.01,11,random
0,294,135,0,0.1,0.01,11,random
0,294,136,0,0.1,0.01,11,random
0,294,137,0,0.1,0.01,11,random
0,294,138,0,0.1,0.01,11,random
0,294,139,0,0.1,0.01,11,random
0,294,140,0,0.1,0.01,11,random
0,294,141,0,0.1,0.01,11,random
0,294,142,0,0.1,0.01,11,random
0,294,143,0,0.1,0.01,11,random
0,294,144,0,0.1,0.01,11,random
0,294,145,0,0.1,0.01,11,random
0,294,146,0,0.1,0.01,11,random
0,294,147,0,0.1,0.01,11,random
0,294,148,0,0.1,0.01,11,random
0,294,149,0,0.1,0.01,11,random
0,294,150,0,0.1,0.01,11,random
0,294,151,0,0.1,0.01,11,random
0,294,152,0,0.1,0.01,11,random
0,294,153,0,0.1,0.01,11,random
0,294,154,0,0.1,0.01,11,random
0,294,155,0,0.1,0.01,11,random
0,294,156,0,0.1,0.01,11,random
0,294,157,0,0.1,0.01,11,random
0,294,158,0,0.1,0.01,11,random
0,294,159,0,0.1,0.01,11,random
0,294,160,0,0.1,0.01,11,random
0,294,161,0,0.1,0.01,11,random
0,294,162,0,0.1,0.01,11,random
0,294,163,0,0.1,0.01,11,random
0,294,164,0,0.1,0.01,11,random
0,294,165,0,0.1,0.01,11,random
0,294,166,0,0.1,0.01,11,random
0,294,167,0,0.1,0.01,11,random
0,294,168,0,0.1,0.01,11,random
0,294,169,0,0.1,0.01,11,random
0,294,170,0,0.1,0.01,11,random
0,294,171,0,0.1,0.01,11,random
0,294,172,0,0.1,0.01,11,random
0,294,173,0,0.1,0.01,11,random
0,294,174,0,0.1,0.01,11,random
0,294,175,0,0.1,0.01,11,random
0,294,176,0,0.1,0.01,11,random
0,294,177,0,0.1,0.01,11,random
0,294,178,0,0.1,0.01,11,random
0,294,179,0,0.1,0.01,11,random
0,294,180,0,0.1,0.01,11,random
0,294,181,0,0.1,0.01,11,random
0,294,182,0,0.1,0.01,11,random
0,294,183,0,0.1,0.01,11,random
0,294,184,0,0.1,0.01,11,random
0,294,185,0,0.1,0.01,11,random
0,294,186,0,0.1,0.01,11,random
0,294,187,0,0.1,0.01,11,random
0,294,188,0,0.1,0.01,11,random
0,294,189,0,0.1,0.01,11,random
0,294,190,0,0.1,0.01,11,random
0,294,191,0,0.1,0.01,11,random
0,294,192,0,0.1,0.01,11,random
0,294,193,0,0.1,0.01,11,random
0,294,194,0,0.1,0.01,11,random
0,294,195,0,0.1,0.01,11,random
0,294,196,0,0.1,0.01,11,random
0,294,197,0,0.1,0.01,11,random
0,294,198,0,0.1,0.01,11,random
0,294,199,0,0.1,0.01,11,random
0,294,200,0,0.1,0.01,11,random
0,294,201,0,0.1,0.01,11,random
0,294,202,0,0.1,0.01,11,random
0,294,203,0,0.1,0.01,11,random
0,294,204,0,0.1,0.01,11,random
0,294,205,0,0.1,0.01,11,random
0,294,206,0,0.1,0.01,11,random
0,294,207,0,0.1,0.01,11,random
0,294,208,0,0.1,0.01,11,random
0,294,209,0,0.1,0.01,11,random
0,294,210,0,0.1,0.01,11,random
0,294,211,0,0.1,0.01,11,random
0,294,212,0,0.1,0.01,11,random
0,294,213,0,0.1,0.01,11,random
0,294,214,0,0.1,0.01,11,random
0,294,215,0,0.1,0.01,11,random
0,294,216,0,0.1,0.01,11,random
0,294,217,0,0.1,0.01,11,random
0,294,218,0,0.1,0.01,11,random
0,294,219,0,0.1,0.01,11,random
0,294,220,0,0.1,0.01,11,random
0,294,221,0,0.1,0.01,11,random
0,294,222,0,0.1,0.01,11,random
0,294,223,0,0.1,0.01,11,random
0,294,224,0,0.1,0.01,11,random
0,294,225,0,0.1,0.01,11,random
0,294,226,0,0.1,0.01,11,random
0,294,227,0,0.1,0.01,11,random
0,294,228,0,0.1,0.01,11,random
0,294,229,0,0.1,0.01,11,random
0,294,230,0,0.1,0.01,11,random
0,294,231,0,0.1,0.01,11,random
0,294,232,0,0.1,0.01,11,random
